,lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
399,3.0458358328395856,2.120829601139239,9.277115920609612,4.497918197068423,1.5,25.0,1.09281851880278
400,3.0458358328395856,2.174702844828499,9.277115920609612,4.729332463305167,1.5,25.0,1.08127966267180
401,3.0458358328395856,2.8080726852067284,9.277115920609612,7.885272205404126,1.5,25.0,1.02859464723566
402,3.0458358328395856,2.093217098846137,9.277115920609612,4.381557822901839,1.5,25.0,1.09840640698740
403,3.0458358328395856,2.6784606713218744,9.277115920609612,7.174151567818026,1.5,25.0,1.02691591533891
404,3.0458358328395856,2.291827025950378,9.277115920609612,5.2524711168765545,1.5,25.0,1.05420199662632
405,3.0458358328395856,2.2028431483121067,9.277115920609612,4.852517936065595,1.5,25.0,1.07498221639868
406,3.0458358328395856,2.463689827760753,9.277115920609612,6.069767567411808,1.5,25.0,1.02430354519047
407,3.0458358328395856,4.807055342756247,9.277115920609612,23.107781068321376,1.5,25.0,1.06406167638101
408,3.0458358328395856,2.935546572486148,9.277115920609612,8.61743367923517,1.5,25.0,1.03032043895219
409,3.0458358328395856,2.257491048583078,9.277115920609612,5.0962658344327245,1.5,25.0,1.06235031677222
410,3.0458358328395856,2.8583508876522856,9.277115920609612,8.17016979694261,1.5,25.0,1.02926649220691
411,3.0458358328395856,2.8542007275686934,9.277115920609612,8.146461793253659,1.5,25.0,1.02921059914160
412,3.0458358328395856,2.385216723896542,9.277115920609612,5.689258819955753,1.5,25.0,1.03151026247735
413,3.0458358328395856,2.0839722431363805,9.277115920609612,4.342940310162877,1.5,25.0,1.10021866230486
414,3.0458358328395856,2.180705214339446,9.277115920609612,4.755475231847249,1.5,25.0,1.07995016832749
415,3.0458358328395856,2.277585503325353,9.277115920609612,5.187395724957803,1.5,25.0,1.05759826635403
416,3.0458358328395856,2.846462102715231,9.277115920609612,8.102346502194013,1.5,25.0,1.02910658738983
417,3.0458358328395856,2.3501112931598365,9.277115920609612,5.523023090237399,1.5,25.0,1.04010850402465
418,3.0458358328395856,3.441179942198457,9.277115920609612,11.841719394588976,1.5,25.0,1.03789199178660
419,3.0458358328395856,2.1921328972604743,9.277115920609612,4.805446639251602,1.5,25.0,1.07739792965943
420,3.0458358328395856,3.857113672548716,9.277115920609612,14.877325882962243,1.5,25.0,1.04498323482634
421,3.0458358328395856,3.5960658086421686,9.277115920609612,12.931689300085255,1.5,25.0,1.04044204309194
422,3.0458358328395856,2.2565573835077637,9.277115920609612,5.092051225063405,1.5,25.0,1.06256987822172
423,3.0458358328395856,2.1018506578605143,9.277115920609612,4.417776187948677,1.5,25.0,1.09668648866760
424,3.0458358328395856,4.079582870816407,9.277115920609612,16.642996399858635,1.5,25.0,1.04909325562602
425,3.0458358328395856,2.0817482882486322,9.277115920609612,4.33367593562611,1.5,25.0,1.10064990802776
