lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
3.038205286,3.592299168,9.230691359,12.90461331,40,30,[2.38789958]
3.038205286,3.950993495,9.230691359,15.6103496,40,30,[2.61594969]
3.038205286,3.908360841,9.230691359,15.27528447,40,30,[2.58844754]
3.038205286,2.283441658,9.230691359,5.214105806,40,30,[1.62363449]
3.038205286,3.039449647,9.230691359,9.238254154,40,30,[2.05031546]
3.038205286,2.950566208,9.230691359,8.705840948,40,30,[1.99755129]
3.038205286,2.481559956,9.230691359,6.158139814,40,30,[1.72830653]
3.038205286,2.672949244,9.230691359,7.144657664,40,30,[1.83587267]
3.038205286,2.582968138,9.230691359,6.671724402,40,30,[1.78477202]
3.038205286,3.062701146,9.230691359,9.38013831,40,30,[2.06418905]
3.038205286,2.159465378,9.230691359,4.663290717,40,30,[1.56535843]
3.038205286,3.627777992,9.230691359,13.16077316,40,30,[2.41012571]
3.038205286,2.525331987,9.230691359,6.377301644,40,30,[1.75250877]
3.038205286,2.219507938,9.230691359,4.926215487,40,30,[1.59255035]
3.038205286,3.882110808,9.230691359,15.07078433,40,30,[2.57156839]
3.038205286,2.289876499,9.230691359,5.243534383,40,30,[1.62685909]
3.038205286,2.437769089,9.230691359,5.942718133,40,30,[1.7044025]
3.038205286,3.092320436,9.230691359,9.562445677,40,30,[2.08190377]
3.038205286,2.714873629,9.230691359,7.370538821,40,30,[1.85993643]
3.038205286,2.475137635,9.230691359,6.12630631,40,30,[1.72478024]
3.038205286,2.289017166,9.230691359,5.239599588,40,30,[1.62642756]
3.038205286,3.826894148,9.230691359,14.64511882,40,30,[2.53619751]
3.038205286,2.844623055,9.230691359,8.091880326,40,30,[1.93524938]
3.038205286,2.601992532,9.230691359,6.770365139,40,30,[1.79550738]
3.038205286,2.947033227,9.230691359,8.685004843,40,30,[1.99546307]
3.038205286,3.931910614,9.230691359,15.45992107,40,30,[2.60362563]
3.038205286,2.900281687,9.230691359,8.411633861,40,30,[1.96789743]
3.038205286,3.961337511,9.230691359,15.69219487,40,30,[2.62263909]
3.038205286,3.153094464,9.230691359,9.942004696,40,30,[2.11839609]
3.038205286,3.165153632,9.230691359,10.01819752,40,30,[2.12566009]
3.038205286,3.995094216,9.230691359,15.96077779,40,30,[2.6445146]
3.038205286,3.214920093,9.230691359,10.3357112,40,30,[2.15571801]
3.038205286,4.103862627,9.230691359,16.84168846,40,30,[2.71547685]
3.038205286,2.991518525,9.230691359,8.949183086,40,30,[2.02180786]
3.038205286,3.372388152,9.230691359,11.37300185,40,30,[2.25167632]
3.038205286,2.753373013,9.230691359,7.581062949,40,30,[1.88215791]
3.038205286,3.14941831,9.230691359,9.918835694,40,30,[2.11618322]
3.038205286,3.680245651,9.230691359,13.54420805,40,30,[2.44312477]
3.038205286,3.262457434,9.230691359,10.64362851,40,30,[2.18454975]
3.038205286,2.70624889,9.230691359,7.323783057,40,30,[1.85497417]
3.038205286,2.754930165,9.230691359,7.589640214,40,30,[1.88305904]
3.038205286,2.547176693,9.230691359,6.488109104,40,30,[1.7646881]
3.038205286,3.241447679,9.230691359,10.50698305,40,30,[2.17179266]
3.038205286,3.236086005,9.230691359,10.47225263,40,30,[2.16854075]
3.038205286,3.351384557,9.230691359,11.23177845,40,30,[2.23880184]
3.038205286,2.720268163,9.230691359,7.399858877,40,30,[1.86304321]
3.038205286,3.446065395,9.230691359,11.87536671,40,30,[2.29702384]
3.038205286,4.12953497,9.230691359,17.05305907,40,30,[2.73233307]
3.038205286,3.292674953,9.230691359,10.84170835,40,30,[2.20293817]
3.038205286,3.017653214,9.230691359,9.106230919,40,30,[2.03733616]
3.038205286,2.98732748,9.230691359,8.924125471,40,30,[2.01932117]
3.038205286,3.489923098,9.230691359,12.17956323,40,30,[2.32415605]
3.038205286,3.975090558,9.230691359,15.80134494,40,30,[2.63154315]
3.038205286,2.796658473,9.230691359,7.821298616,40,30,[1.90727185]
3.038205286,2.863970269,9.230691359,8.202325703,40,30,[1.94657662]
3.038205286,3.13000503,9.230691359,9.796931488,40,30,[2.10450904]
3.038205286,3.606517285,9.230691359,13.00696692,40,30,[2.39679822]
3.038205286,2.878009662,9.230691359,8.282939613,40,30,[1.9548106]
3.038205286,3.710637984,9.230691359,13.76883425,40,30,[2.46231142]
3.038205286,3.290920909,9.230691359,10.83016043,40,30,[2.20186946]
3.038205286,2.701946905,9.230691359,7.30051708,40,30,[1.85250126]
3.038205286,3.596258233,9.230691359,12.93307327,40,30,[2.39037629]
3.038205286,3.481815528,9.230691359,12.12303937,40,30,[2.31913252]
3.038205286,3.022671552,9.230691359,9.13654331,40,30,[2.04032213]
3.038205286,3.948791898,9.230691359,15.59295745,40,30,[2.61452678]
3.038205286,3.515256503,9.230691359,12.35702828,40,30,[2.33987595]
3.038205286,3.358053549,9.230691359,11.27652364,40,30,[2.24288717]
3.038205286,3.442344594,9.230691359,11.84973631,40,30,[2.29472678]
3.038205286,3.286335193,9.230691359,10.799999,40,30,[2.19907624]
3.038205286,2.54104024,9.230691359,6.456885504,40,30,[1.76126053]
3.038205286,2.652377739,9.230691359,7.035107669,40,30,[1.82412074]
3.038205286,2.599244608,9.230691359,6.756072533,40,30,[1.7939543]
3.038205286,3.981886975,9.230691359,15.85542389,40,30,[2.63594757]
3.038205286,3.384380783,9.230691359,11.45403328,40,30,[2.25903788]
3.038205286,4.124627551,9.230691359,17.01255244,40,30,[2.72910771]
3.038205286,3.280915049,9.230691359,10.76440356,40,30,[2.19577618]
3.038205286,2.554157918,9.230691359,6.523722671,40,30,[1.76859334]
