lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
3.231266371,4.13496053,10.44108236,17.09789858,50,40,[4.52230375]
3.195822335,4.13496053,10.2132804,17.09789858,50,40,[4.40565821]
3.430926511,4.13496053,11.77125672,17.09789858,40,40,[3.69307742]
3.038207243,4.13496053,9.23070325,17.09789858,40,40,[2.94564198]
4.083204455,4.13496053,16.67255862,17.09789858,40,40,[5.82799062]
3.174864474,4.13496053,10.07976443,17.09789858,40,40,[3.17622364]
3.536078876,4.13496053,12.50385381,17.09789858,40,40,[3.94539499]
3.762031286,4.13496053,14.1528794,17.09789858,40,40,[4.59000639]
3.497163075,4.13496053,12.23014957,17.09789858,40,40,[3.84888842]
3.084424011,4.13496053,9.513671477,17.09789858,40,40,[3.02063243]
3.163972931,4.13496053,10.01072471,17.09789858,40,40,[3.15682928]
4.386358276,4.13496053,19.24013892,17.09789858,40,40,[7.49040805]
3.33133378,4.13496053,11.09778475,17.09789858,40,40,[3.47709555]
101.5425306,4.13496053,10310.88553,17.09789858,40,40,[0.00059831]
3.664926854,4.13496053,13.43168885,17.09789858,40,40,[4.29403148]
3.383153666,4.13496053,11.44572873,17.09789858,40,40,[3.58687074]
3.229921562,4.13496053,10.4323933,17.09789858,40,40,[3.27720555]
3.135152307,4.13496053,9.82917999,17.09789858,40,40,[3.10639652]
4.16143541,4.13496053,17.31754467,17.09789858,40,40,[6.20367438]
3.542417451,4.13496053,12.54872139,17.09789858,40,40,[3.96147934]
4.341449089,4.13496053,18.84818019,17.09789858,40,40,[7.20655988]
3.830717574,4.13496053,14.67439713,17.09789858,40,40,[4.8189621]
4.630351008,4.13496053,21.44015046,17.09789858,40,40,[9.30879187]
3.419348616,4.13496053,11.69194496,17.09789858,40,40,[3.6668796]
3.335022065,4.13496053,11.12237218,17.09789858,40,40,[3.48472996]
4.735199639,4.13496053,22.42211562,17.09789858,40,40,[10.2525364]
3.627121197,4.13496053,13.15600817,17.09789858,40,40,[4.1868303]
3.972088922,4.13496053,15.77749041,17.09789858,40,40,[5.34856937]
4.164177704,4.13496053,17.34037595,17.09789858,40,40,[6.21746028]
3.504691446,4.13496053,12.28286213,17.09789858,40,40,[3.86726175]
3.824704325,4.13496053,14.62836317,17.09789858,40,40,[4.7982233]
3.706353897,4.13496053,13.73705921,17.09789858,40,40,[4.41654276]
3.553034061,4.13496053,12.62405104,17.09789858,40,40,[3.98865445]
2.679278846,4.13496053,7.178535134,17.09789858,40,40,[2.44592929]
2.988868988,4.13496053,8.933337829,17.09789858,40,40,[2.86867844]
4.449875006,4.13496053,19.80138757,17.09789858,40,40,[7.91724678]
3.022413698,4.13496053,9.134984563,17.09789858,40,40,[2.92066817]
4.673413609,4.13496053,21.84079476,17.09789858,40,40,[9.68356791]
3.139474414,4.13496053,9.856299595,17.09789858,40,40,[3.11387924]
3.99726225,4.13496053,15.9781055,17.09789858,40,40,[5.45197244]
5.03332024,4.13496053,25.33431264,17.09789858,30,40,[8.80706519]
4.863336395,4.13496053,23.6520409,17.09789858,30,40,[7.61774076]
4.686710133,4.13496053,21.96525187,17.09789858,30,40,[6.59562193]
4.014612428,4.13496053,16.11711294,17.09789858,30,40,[4.10463728]
4.673967669,4.13496053,21.84597377,17.09789858,30,40,[6.52933359]
4.760477096,4.13496053,22.66214218,17.09789858,30,40,[6.99835694]
4.382138807,4.13496053,19.20314052,17.09789858,30,40,[5.24143475]
3.103773709,4.13496053,9.633411237,17.09789858,30,40,[2.54756904]
5.211183236,4.13496053,27.15643072,17.09789858,30,40,[10.30474126]
5.484718935,4.13496053,30.0821418,17.09789858,30,40,[13.19828832]
3.280606179,4.13496053,10.7623769,17.09789858,30,40,[2.76367044]
4.589002407,4.13496053,21.05894309,17.09789858,30,40,[6.11053384]
5.509540454,4.13496053,30.35503602,17.09789858,30,40,[13.49913808]
5.456645027,4.13496053,29.77497495,17.09789858,30,40,[12.865738]
3.084366066,4.13496053,9.513314031,17.09789858,30,40,[2.52550024]
32.40479911,4.13496053,1050.071006,17.09789858,30,40,[0.00346919]
4.416234563,4.13496053,19.50312772,17.09789858,30,40,[5.37141449]
2.988199193,4.13496053,8.92933442,17.09789858,30,40,[2.42036722]
93.39965876,4.13496053,8723.496256,17.09789858,30,40,[0.00061098]
2.955807638,4.13496053,8.736798795,17.09789858,30,40,[2.38643352]
